Name,Size,Type,Alignment,AC,AC info,Mean HP,HP Dice,Speed,Prof. bonus,STR,DEX,CON,INT,WIS,CHA,Skill Proficiencies,Resistances,Vulnerabilities,Immunities,Conditions Immunity,Senses,Passive Perception,Languages,Trait Name,Trait Description,Action Name,Action Description,Legendary Action Name,Legendary Action Description,CR,Source
Adult Copper Dragon,H,dragon,chaotic good,18,natural armor,184,16d12+80,"40 ft., climb 40 ft., fly 80 ft.",5,23,12,21,18,15,17,"Deception +8, Perception +12, Stealth +6",,,acid,,"blindsight 60 ft., darkvision 120 ft.",22,"Common, Draconic",['Legendary Resistance (3/Day)'],"['If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Breath Weapons (Recharge 5-6)']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage.', 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon uses one of the following breath weapons.', 'Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.', ""Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.""]","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",14.0, monster manual
Adult Gold Dragon,H,dragon,lawful good,19,natural armor,256,19d12+133,"40 ft., fly 80 ft., swim 40 ft.",6,27,14,25,16,15,24,"Insight +8, Perception +14, Persuasion +13, Stealth +8",,,fire,,"blindsight 60 ft., darkvision 120 ft.",24,"Common, Draconic","['Amphibious', 'Legendary Resistance (3/Day)']","['The dragon can breathe air and water.', 'If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Breath Weapons (Recharge 5-6)']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.', 'Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon uses one of the following breath weapons.', 'Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one.', 'Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",17.0, monster manual
Adult Green Dragon,H,dragon,lawful evil,19,natural armor,207,18d12+90,"40 ft., fly 80 ft., swim 40 ft.",5,23,12,21,18,15,17,"Deception +8, Insight +7, Perception +12, Persuasion +8, Stealth +6",,,poison,poisoned,"blindsight 60 ft., darkvision 120 ft.",22,"Common, Draconic","['Amphibious', 'Legendary Resistance (3/Day)']","['The dragon can breathe air and water.', 'If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Poison Breath (Recharge 5-6)']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 7 (2d6) poison damage.', 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours ."", 'The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",15.0, monster manual
Adult Red Dragon,H,dragon,chaotic evil,19,natural armor,256,19d12+133,"40 ft., climb 40 ft., fly 80 ft.",6,27,10,25,16,13,21,"Perception +13, Stealth +6",,,fire,,"blindsight 60 ft., darkvision 120 ft.",23,"Common, Draconic",['Legendary Resistance (3/Day)'],"['If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Fire Breath (Recharge 5-6)', 'Lair Actions']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 7 (2d6) fire damage.', 'Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one.', ""On initiative count 20 (losing initiative ties), the dragon takes a lair action to cause one of the following effects: the dragon can't use the same effect two rounds in a row:"", ""\t• Magma erupts from a point on the ground the dragon can see within 120 feet of it, creating a 20-foot-high, 5-foot-radius geyser. Each creature in the geyser's area must make a DC 15 Dexterity saving throw, taking 21 (6d6) fire damage on a failed save, or half as much damage on a successful one."", '\t• A tremor shakes the lair in a 60-foot-radius around the dragon. Each creature other than the dragon on the ground in that area must succeed on a DC 15 Dexterity saving throw or be knocked prone.', '\t• Volcanic gases form a cloud in a 20-foot-radius sphere centered on a point the dragon can see within 120 feet of it. The sphere spreads around corners, and its area is lightly obscured. It lasts until initiative count 20 on the next round. Each creature that starts its turn in the cloud must succeed on a DC 13 Constitution saving throw or be poisoned until the end of its turn. While poisoned in this way, a creature is incapacitated.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",17.0, monster manual
Adult Silver Dragon,H,dragon,lawful good,19,natural armor,243,18d12+126,"40 ft., fly 80 ft.",5,27,10,25,16,13,21,"Arcana +8, History +8, Perception +11, Stealth +5",,,cold,,"blindsight 60 ft., darkvision 120 ft.",21,"Common, Draconic",['Legendary Resistance (3/Day)'],"['If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Breath Weapons (Recharge 5-6)']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) piercing damage.', 'Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Melee Weapon Attack: +13 to hit, reach 15 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon uses one of the following breath weapons.', 'Cold Breath. The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 20 Constitution saving throw, taking 58 (13d8) cold damage on a failed save, or half as much damage on a successful one.', 'Paralyzing Breath. The dragon exhales paralyzing gas in a 60-foot cone. Each creature in that area must succeed on a DC 20 Constitution saving throw or be paralyzed for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",16.0, monster manual
Adult White Dragon,H,dragon,chaotic evil,18,natural armor,200,16d12+96,"40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.",5,22,10,22,8,12,12,"Perception +11, Stealth +5",,,cold,,"blindsight 60 ft., darkvision 120 ft.",21,"Common, Draconic","['Ice Walk', 'Legendary Resistance (3/Day)']","[""The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment."", 'If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Cold Breath (Recharge 5-6)']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.', 'Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage.', 'Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",13.0, monster manual
Aerisi Kalinoth,M,humanoid (elf),neutral evil,13,16 with mage armor,66,12d8+12,30 ft.,3,8,16,12,17,10,16,"Arcana +6, History +6, Perception +3",lightning,,,,darkvision 60 ft.,13,"Auran, Common, Elvish","['Fey Ancestry', 'Howling Defeat', 'Legendary Resistance (2/Day)', 'Spellcasting']","[""Aerisi has advantage on saving throws against being charmed, and magic can't put her to sleep."", 'When Aerisi drops to 0 hit points, her body disappears in a howling whirlwind that disperses quickly and harmlessly. Anything she is wearing or carrying is left behind.', 'If Aerisi fails a saving throw, she can choose to succeed instead.', 'Aerisi is a 12th-level spellcaster. Her spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). Aerisi has the following wizard spells prepared: ', None, '• Cantrips (at will): gust, mage hand, message, prestidigitation, ray of frost, shocking grasp', '• 1st level (4 slots): charm person, feather fall, mage armor, thunderwave', '• 2nd level (3 slots): dust devil, gust of wind, invisibility', '• 3rd level (3 slots): fly, gaseous form, lightning bolt', '• 4th level (3 slots): ice storm, storm sphere', '• 5th level (2 slots): cloudkill, seeming (cast each day) ', '• 6th level (1 slot): chain lightning']",['Windvane'],"['Melee or Ranged Weapon Attack: +9 to hit, reach 5 ft. or range 20 ft./60 ft., one target. Hit: 9 (1d6 + 6) piercing damage, or 10 (1d8 + 6) piercing damage if used with two hands to make a melee attack, plus 3 (1d6) lightning damage.']",[],[],7.0, elemental evil
Air Elemental,L,elemental,neutral,15,,90,12d10+24,fly 90 ft. (hover),3,14,20,14,6,10,6,,"lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons",,poison,"exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, unconscious",darkvision 60 ft.,10,Auran,['Air Form'],"[""The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.""]","['Multiattack', 'Slam', 'Whirlwind (Recharge 4-6)']","['The elemental makes two slam attacks.', 'Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.', ""Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone."", ""If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone.""]",[],[],5.0, monster manual
Air Elemental Myrmidon,M,elemental,neutral,18,plate,117,18d8+36,"30 ft., fly 30 ft.",3,18,14,14,9,10,10,,"lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons",,poison,"paralyzed, petrified, poisoned, prone",darkvision 60 ft.,10,"Auran, one language of its creator's choice",['Magic Weapons'],"[""The myrmidon's weapon attacks are magical.""]","['Multiattack', 'Flail', 'Lightning Strike (Recharge 6)']","['The myrmidon makes three flail attacks.', 'Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) bludgeoning damage.', ""The myrmidon makes one flail attack. If the attack hits, it deals an extra 18 (4d8) lightning damage, and the target must succeed on a DC 14 Constitution saving throw or be stunned until the end of the myrmidon's next turn.""]",[],[],7.0, elemental evil
Alhoon,M,undead,any evil alignment,15,natural armor,120,16d8+48,30 ft.,4,11,12,16,19,17,17,"Arcana +8, Deception +7, History +8, Insight +7, Perception +7, Stealth +5","cold, lightning, necrotic",,"poison; bludgeoning, piercing, and slashing from nonmagical attacks","charmed, exhaustion, frightened, paralyzed, poisoned",truesight 120 ft.,17,"Deep Speech, Undercommon, telepathy 120 ft.","['Magic Resistance', 'Innate Spellcasting (Psionics)', 'Spellcasting', 'Turn Resistance']","['The alhoon has advantage on saving throws against spells and other magical effects.', 'The alhoon’s innate spellcasting ability is Intelligence (spell save DC 16). It can innately cast the following spells, requiring no components:', '\t ', 'At will: detect thoughts, levitate', '\t ', '1/day each: dominate monster, plane shift (self only)', 'The alhoon is a 12th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 16, +8 to hit with spell attacks). The alhoon has the following wizard spells prepared:', '\t ', 'Cantrips (at will): chill touch, dancing lights, mage hand, prestidigitation, shocking grasp', '\t ', '1st level (4 slots): detect magic, disguise self, magic missile, shield', '\t ', '2nd level (3 slots): invisibility, mirror image, scorching ray', '\t ', '3rd level (3 slots): counterspell, fly, lightning bolt', '\t ', '4th level (3 slots): confusion, Evard’s black tentacles, phantasmal killer', '\t ', '5th level (2 slots): modify memory, wall of force', '\t ', '6th level (1 slot): disintegrate, globe of invulnerability', 'The alhoon has advantage on saving throws against any effect that turns undead.']","['Chilling Grasp', 'Mind Blast (Recharge 5-6)']","['Melee Spell Attack: +8 to hit, reach 5 ft., one target. Hit: 10 (3d6) cold damage.', 'The alhoon magically emits psychic energy in a 60-foot cone. Each creature in that area must succeed on a DC 16 Intelligence saving throw or take 22 (4d8+4) psychic damage and be stunned for 1 minute. A target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.']",[],[],10.0, Volo's Guide
Allosaurus,L,beast,unaligned,15,natural armor,60,6d10+18,60 ft.,2,19,13,17,2,12,5,Perception +5,,,,,,15,,['Pounce'],"['If the allosaurus moves at least 30 ft. straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the allosaurus can make one bite attack against it as a bonus action.']","['Bite', 'Claw']","['Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 15 (2d10 + 4) piercing damage.', 'Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) slashing damage.']",[],[],2.0, monster manual
Ambush Drake,M,dragon,unaligned,13,natural armor,22,4d6+8,30 ft.,2,13,15,14,4,11,6,"Perception +4, Stealth +4",poison,,,,darkvision 60 ft.,14,understands Draconic but can't speak it,"['Pack Tactics', 'Surprise Attack']","[""The drake has advantage on an attack roll against a creature if at least one of the drake's allies is within 5 feet of the creature and the ally isn't incapacitated."", 'If the drake surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.']",['Bite'],"['Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage.']",[],[],0.5, tyranny of dragons
Ancient Black Dragon,G,dragon,chaotic evil,22,natural armor,367,21d20+147,"40 ft., fly 80 ft., swim 40 ft.",7,27,14,25,16,15,19,"Perception +16, Stealth +9",,,acid,,"blindsight 60 ft., darkvision 120 ft.",26,"Common, Draconic","['Amphibious', 'Legendary Resistance (3/Day)', 'Legendary Resistance (3/Day)']","['The dragon can breathe air and water.', 'If the dragon fails a saving throw, it can choose to succeed instead.', 'If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Acid Breath (Recharge 5-6)']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +15 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage plus 9 (2d8) acid damage.', 'Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Melee Weapon Attack: +15 to hit, reach 20 ft ., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon exhales acid in a 90-foot line that is 10 feet wide. Each creature in that line must make a DC 22 Dexterity saving throw, taking 67 (15d8) acid damage on a failed save, or half as much damage on a successful one.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 23 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",21.0, monster manual
Ancient Blue Dragon,G,dragon,lawful evil,22,natural armor,481,26d20+208,"40 ft., burrow 40 ft., fly 80 ft.",7,29,10,27,18,17,21,"Perception +17, Stealth +7",,,lightning,,"blindsight 60 ft., darkvision 120 ft.",27,"Common, Draconic",[],[],"['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Lightning Breath (Recharge 5-6)']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +16 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 9) piercing damage plus 11 (2d10) lightning damage.', 'Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 16 (2d6 + 9) slashing damage.', 'Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 18 (2d8 + 9) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 20 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon exhales lightning in a 120-foot line that is 10 feet wide. Each creature in that line must make a DC 23 Dexterity saving throw, taking 88 (16d10) lightning damage on a failed save, or half as much damage on a successful one.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 24 Dexterity saving throw or take 16 (2d6 + 9) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",23.0, monster manual
Ancient Brass Dragon,G,dragon,chaotic good,20,natural armor,297,17d20+119,"40 ft., burrow 40 ft., fly 80 ft.",6,27,10,25,16,15,19,"History +9, Perception +14, Persuasion +10, Stealth +6",,,fire,,"blindsight 60 ft., darkvision 120 ft.",24,"Common, Draconic",['Legendary Resistance (3/Day)'],"['If the dragon fails a saving throw, it can choose to succeed instead.']","['Multiattack', 'Bite', 'Claw', 'Tail', 'Frightful Presence', 'Breath Weapons (Recharge 5-6)', 'Change Shape']","['The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.', 'Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 19 (2d10 + 8) piercing damage.', 'Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 15 (2d6 + 8) slashing damage.', 'Melee Weapon Attack: +14 to hit, reach 20 ft., one target. Hit: 17 (2d8 + 8) bludgeoning damage.', ""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 18 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours."", 'The dragon uses one of the following breath weapons:', 'Fire Breath. The dragon exhales fire in an 90-foot line that is 10 feet wide. Each creature in that line must make a DC 21 Dexterity saving throw, taking 56 (16d6) fire damage on a failed save, or half as much damage on a successful one.', 'Sleep Breath. The dragon exhales sleep gas in a 90-foot cone. Each creature in that area must succeed on a DC 21 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.', ""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice)."", 'In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.']","['Detect', 'Tail Attack', 'Wing Attack (Costs 2 Actions)']","['The dragon makes a Wisdom (Perception) check.', 'The dragon makes a tail attack.', 'The dragon beats its wings. Each creature within 15 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.']",20.0, monster manual
